,address,city,cuisines,latitude,longitude,name,postalcode,websites
0,100 W Higgins Rd,Barrington,"Mexican, Latin American",42.074974,-88.189151,Mago Grill & Cantina - South Barrington,60010,http://www.magodining.com/
1,100 W Higgins Rd,Barrington,"Mexican, Latin American",42.074974,-88.189151,Mago Grill & Cantina - South Barrington,60010,http://www.magodining.com/
12,913 Washington St,Braintree,Mexican Restaurants,42.202732,-71.00508,Loco's,2184,http://www.locosburrito.com
13,913 Washington St,Braintree,Mexican Restaurants,42.202732,-71.00508,Loco's,2184,http://www.locosburrito.com
14,913 Washington St,Braintree,Mexican Restaurants,42.202732,-71.00508,Loco's,2184,http://www.locosburrito.com
15,913 Washington St,Braintree,Mexican Restaurants,42.202732,-71.00508,Loco's,2184,http://www.locosburrito.com
16,121 Washington St,Hoboken,Latin American Restaurants,40.738153654,-74.030680694,Charrito's,7030,http://www.loscharritos.com
17,121 Washington St,Hoboken,Latin American Restaurants,40.738153654,-74.030680694,Charrito's,7030,http://www.loscharritos.com
18,121 Washington St,Hoboken,Latin American Restaurants,40.738153654,-74.030680694,Charrito's,7030,http://www.loscharritos.com
19,121 Washington St,Hoboken,Latin American Restaurants,40.738153654,-74.030680694,Charrito's,7030,http://www.loscharritos.com
20,827 W Glenoaks Blvd,Glendale,Mexican,34.16089,-118.27406,Casa de Ramos,91202,http://www.casaderamos.net
21,827 W Glenoaks Blvd,Glendale,Mexican,34.16089,-118.27406,Casa de Ramos,91202,http://www.casaderamos.net
22,1408 SE 12th Ave,Portland,Mexican,45.51271,-122.653461,Que Pasa Cantina,97214,http://quepasacantinapdx.com
23,1408 SE 12th Ave,Portland,Mexican,45.51271,-122.653461,Que Pasa Cantina,97214,http://quepasacantinapdx.com
24,1408 SE 12th Ave,Portland,Mexican,45.51271,-122.653461,Que Pasa Cantina,97214,http://quepasacantinapdx.com
25,1408 SE 12th Ave,Portland,Mexican,45.51271,-122.653461,Que Pasa Cantina,97214,http://quepasacantinapdx.com
26,980 Woodside Rd,Redwood City,Mexican,37.463326,-122.22516,Bravo Taqueria,94061,http://bravotaqueria.com
