,address,city,cuisines,latitude,longitude,menupageurl,name,postalcode,websites
18,100 W Higgins Rd,Barrington,"Mexican, Latin American",42.074974,-88.189151,,Mago Grill & Cantina - South Barrington,60010,http://www.magodining.com/
19,100 W Higgins Rd,Barrington,"Mexican, Latin American",42.074974,-88.189151,,Mago Grill & Cantina - South Barrington,60010,http://www.magodining.com/
215,10525 S De Anza Blvd,Cupertino,Mexican,37.315309386,-122.03279078,,Subway,95014,http://twitter.com/Subway
216,10525 S De Anza Blvd,Cupertino,Mexican,37.315309386,-122.03279078,,Subway,95014,http://twitter.com/Subway
217,10525 S De Anza Blvd,Cupertino,Mexican,37.315309386,-122.03279078,,Subway,95014,http://twitter.com/Subway
218,10525 S De Anza Blvd,Cupertino,Mexican,37.315309386,-122.03279078,,Subway,95014,http://twitter.com/Subway
219,10525 S De Anza Blvd,Cupertino,Mexican,37.315309386,-122.03279078,,Subway,95014,http://twitter.com/Subway
220,10525 S De Anza Blvd,Cupertino,Mexican,37.315309386,-122.03279078,,Subway,95014,http://twitter.com/Subway
221,10525 S De Anza Blvd,Cupertino,Mexican,37.315309386,-122.03279078,,Subway,95014,http://twitter.com/Subway
222,10525 S De Anza Blvd,Cupertino,Mexican,37.315309386,-122.03279078,,Subway,95014,http://twitter.com/Subway
223,10525 S De Anza Blvd,Cupertino,Mexican,37.315309386,-122.03279078,,Subway,95014,http://twitter.com/Subway
224,10525 S De Anza Blvd,Cupertino,Mexican,37.315309386,-122.03279078,,Subway,95014,http://twitter.com/Subway
280,913 Washington St,Braintree,Mexican Restaurants,42.202732,-71.00508,,Loco's,2184,http://www.locosburrito.com
281,913 Washington St,Braintree,Mexican Restaurants,42.202732,-71.00508,,Loco's,2184,http://www.locosburrito.com
282,913 Washington St,Braintree,Mexican Restaurants,42.202732,-71.00508,,Loco's,2184,http://www.locosburrito.com
283,913 Washington St,Braintree,Mexican Restaurants,42.202732,-71.00508,,Loco's,2184,http://www.locosburrito.com
289,121 Washington St,Hoboken,Latin American Restaurants,40.738153654,-74.030680694,,Charrito's,7030,http://www.loscharritos.com
290,121 Washington St,Hoboken,Latin American Restaurants,40.738153654,-74.030680694,,Charrito's,7030,http://www.loscharritos.com
291,121 Washington St,Hoboken,Latin American Restaurants,40.738153654,-74.030680694,,Charrito's,7030,http://www.loscharritos.com
292,121 Washington St,Hoboken,Latin American Restaurants,40.738153654,-74.030680694,,Charrito's,7030,http://www.loscharritos.com
302,827 W Glenoaks Blvd,Glendale,Mexican,34.16089,-118.27406,,Casa de Ramos,91202,http://www.casaderamos.net
303,827 W Glenoaks Blvd,Glendale,Mexican,34.16089,-118.27406,,Casa de Ramos,91202,http://www.casaderamos.net
308,1408 SE 12th Ave,Portland,Mexican,45.51271,-122.653461,http://www.citysearch.com/profile/menu/41678011?singlePlatformId=que-pasa-cantina-3,Que Pasa Cantina,97214,http://quepasacantinapdx.com
309,1408 SE 12th Ave,Portland,Mexican,45.51271,-122.653461,http://www.citysearch.com/profile/menu/41678011?singlePlatformId=que-pasa-cantina-3,Que Pasa Cantina,97214,http://quepasacantinapdx.com
310,1408 SE 12th Ave,Portland,Mexican,45.51271,-122.653461,http://www.citysearch.com/profile/menu/41678011?singlePlatformId=que-pasa-cantina-3,Que Pasa Cantina,97214,http://quepasacantinapdx.com
311,1408 SE 12th Ave,Portland,Mexican,45.51271,-122.653461,http://www.citysearch.com/profile/menu/41678011?singlePlatformId=que-pasa-cantina-3,Que Pasa Cantina,97214,http://quepasacantinapdx.com
312,980 Woodside Rd,Redwood City,Mexican,37.463326,-122.22516,,Bravo Taqueria,94061,http://bravotaqueria.com
385,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
386,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
387,296 E 17th St,Costa Mesa,Mexican Restaurants,33.63319,-117.915362,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuMLvebwKqWtPm-4vwEFmgapvZF8QWiQ5Qb_qzmfqyOyEzrQAzDaQOjc1f4TgBN-jqQQ_y0-L7En1AsjDSyt6a1dg1xAMzvSEI3oMbkHGGg_3qeq0Kixs4OiG8_rNc83y4wlO_g7wgwb2-yFOK8hm08FdUfUECUV8GVF8-fnJsqb351qFs7xtEMjQ-TsJPqcR3IV_ihs2cAOIYVCigUwSUNauDXp5YQSEByALHOgU9Y0yp3C2rWE00I-xI4cx2F8gdkKQT3Q7rf_af9DLObLOqB1hQ9-uRkWtSbsA8hHQZz03CKlFr692ndtwpuxf04-2URyr_bT7vlUufeeLDAVn7xlXNO9bnwWzCAjJrQdxsnkHXYwfEz7QumZ5Nte_FLkAvyh2XnRR7XfVRxn58d0Vl3PwmMJDMMNfpnDIPcfFTS0KM5B4VgHTidvCQWR3k4ZXC52KYJdnWTA418VfpNPBQj1aMQTDHjkbRhDxPFKagCMbvADlgP60VHg&placement=listing_profile&cs_user=unknown&cs_session=b1f9f3ec2e4de1f853353363ee714688d7685f18,Mi Casa Mexican Restaurant & Bar,92627,http://micasa1.com
