,number,classification,timestamp,latitude,longitude,report,key_words,month,year
202,14338,Class A,1869-11-10 12:00:00+00:00,37.39555,-121.4871, Old newspaper article (Titusville Morning Herald - Pennsylvania) about sightings near Orestimba Creek in the Diablo (Devil) Mountains,Old newspaper article (Titusville Morning Herald - Pennsylvania) sightings near Orestimba Creek Diablo (Devil) Mountains,11,1869
1380,14358,Class A,1921-01-14 12:00:00+00:00,41.01865,-78.377, Old newspaper article (Clearfield Progress - Pennsylvania) sightings by farmers in Clearfield County,Old newspaper article (Clearfield Progress - Pennsylvania) sightings farmers Clearfield County,1,1921
2685,24413,Class B,1925-10-14 12:00:00+00:00,31.08774,-91.84467, Woman recounts a tale her Grandfather told her about a frightening incident near Horseshoe Lake,Woman recounts tale Grandfather told frightening incident near Horseshoe Lake,10,1925
3306,2477,Class B,1930-09-30 12:00:00+00:00,31.40444,-95.70861, Nine foot tall brown/black creature seen carrying a calf,Nine foot tall brown/black creature seen carrying calf,9,1930
2843,24102,Class B,1932-01-01 12:00:00+00:00,39.80751,-94868400.0, Recollections of numerous encounters at a logging camp during the Great Depression,Recollections numerous encounters logging camp Great Depression,1,1932
257,14328,Class A,1934-03-04 12:00:00+00:00,49.175,-121.525," Old newspaper article (Lima, Ohio) about encounters near Harrison Mills","Old newspaper article (Lima, Ohio) encounters near Harrison Mills",3,1934
711,14336,Class A,1937-08-16 12:00:00+00:00,38.01,-87.3203, Old newspaper article (The Hammond Times) mentioning sightings near Boonville,Old newspaper article (The Hammond Times) mentioning sightings near Boonville,8,1937
3302,2395,Class B,1938-06-30 12:00:00+00:00,32.5175,-96.80417, Sighting at night by a group of coon hunters; Screams were also heard in the area,Sighting night group coon hunters; Screams also heard area,6,1938
1659,1689,Class A,1941-10-15 12:00:00+00:00,46.24639,-120.8681, A tall black creature covered with hair and very muscular was seen walking quickly across a clearing,A tall black creature covered hair muscular seen walking quickly across clearing,10,1941
3114,1303,Class B,1942-04-01 12:00:00+00:00,34.73153,-99.81514, Sisters observe tall hairy creature running away from them,Sisters observe tall hairy creature running away,4,1942
2750,28897,Class B,1944-07-01 12:00:00+00:00,46.35503,-86.97, Memory told of a possible daylight sighting while playing in the woods in Eben Junction,Memory told possible daylight sighting playing woods Eben Junction,7,1944
160,2896,Class A,1944-08-01 12:00:00+00:00,41.82417,-122.9958, Sister and brother see 3 creatures near Yreka,Sister brother see 3 creatures near Yreka,8,1944
396,4795,Class A,1947-07-01 12:00:00+00:00,29.77295,-81.68295," While riding horse, young teen has day time sighting not far from Palatka","While riding horse, young teen day time sighting far Palatka",7,1947
1662,1723,Class A,1948-05-15 12:00:00+00:00,47.93722,-123.82, Mt. Olympus Incident,Mt. Olympus Incident,5,1948
