,number,classification,timestamp,latitude,longitude,report,key_words
0,637,Class A,2000-06-16 12:00:00+00:00,61.5,-142.9, Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve,Campers' encounter dark Wrangell - St. Elias National Park Preserve
1,2917,Class A,1995-05-15 12:00:00+00:00,55.1872,-132.7982, Family observes large biped from car,Family observes large biped car
2,7963,Class A,2004-02-09 12:00:00+00:00,55.2035,-132.8202, Sasquatch walks past window of house at night,Sasquatch walks past window house night
3,9317,Class A,2004-06-18 12:00:00+00:00,62.9375,-141.5667," Driver on Alcan Highway has noon, road encounter near Alaska-Canada border","Driver Alcan Highway noon, road encounter near Alaska-Canada border"
4,13038,Class A,2004-02-15 12:00:00+00:00,61.0595,-149.7853," Snowmobiler has encounter in deep snow near Potter, AK","Snowmobiler encounter deep snow near Potter, AK"
5,23666,Class A,2008-04-23 12:00:00+00:00,62.77335,-141.3165, Passenger on the Alcan Highway sees a tall bipedal creature walk across the road,Passenger Alcan Highway sees tall bipedal creature walk across road
6,26604,Class A,2009-07-15 12:00:00+00:00,64.89139,-147.8142, Daytime sighting of reddish-colored bigfoot near Fairbanks,Daytime sighting reddish-colored bigfoot near Fairbanks
7,179,Class A,1981-09-15 12:00:00+00:00,32.31435,-85.16235," Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving","Man witnesses two seperate sighting, 1st fishing, 2nd driving"
8,245,Class A,1999-07-15 12:00:00+00:00,33.28375,-87.32655," Two outdoorsman fishing, loud vocalizations, footsteps heard","Two outdoorsman fishing, loud vocalizations, footsteps heard"
9,416,Class A,1983-11-15 12:00:00+00:00,34.95605,-86.4559, A resident's early evening sighting next to his home near New Market,A resident's early evening sighting next home near New Market
10,435,Class A,2000-10-10 12:00:00+00:00,34.5422,-86.66465, Daylight sighting by husband and wife near home near Valhermosa Springs,Daylight sighting husband wife near home near Valhermosa Springs
11,451,Class A,1993-08-20 12:00:00+00:00,34.9263,-87.02025, Young man has sighting near home,Young man sighting near home
12,577,Class A,1999-11-15 12:00:00+00:00,34.80405,-87.50905, Man has repeated visits at family farm,Man repeated visits family farm
13,799,Class A,1978-04-15 12:00:00+00:00,34.92855,-87.1105," Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water","Person fishing recounts story encounter large, bipedal creature wading water"
14,832,Class A,1980-11-15 12:00:00+00:00,33.13195,-88.17885," Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described","Witnesses spot tall, brown object moving hill, also reported moans sighting red eyes described"
15,961,Class A,1997-01-06 12:00:00+00:00,31.4515,-88.08305," Motorist confronted by hairy, man-like creature on roadside","Motorist confronted hairy, man-like creature roadside"
16,1022,Class A,1990-09-15 12:00:00+00:00,33.97575,-87.45876, Hunters observe creature walking in the woods,Hunters observe creature walking woods
17,1907,Class A,1996-12-05 12:00:00+00:00,31.58255,-87.96095," Motorist sees Bigfoot like creature, hears scream","Motorist sees Bigfoot like creature, hears scream"
18,3028,Class A,2000-06-01 12:00:00+00:00,34.4881,-86.6333, Daylight sighting by lady while her husband was clearing trees,Daylight sighting lady husband clearing trees
19,3296,Class A,2001-10-15 12:00:00+00:00,34.6802,-87.00665, Man on his way to work  sees sasquatch crossing road in his headlights,Man way work sees sasquatch crossing road headlights
20,4743,Class A,2000-02-10 12:00:00+00:00,31.16,-87.09069, Nighttime sighting by two teens in southern Conecuh County,Nighttime sighting two teens southern Conecuh County
21,5954,Class A,2007-09-01 12:00:00+00:00,33.13,-88.14999, Daylight sighting at eastern dike of East Lagoon in Aliceville,Daylight sighting eastern dike East Lagoon Aliceville
22,6938,Class A,2003-08-30 12:00:00+00:00,33.21145,-87.35664, Tracks and feces found in freshly turned field,Tracks feces found freshly turned field
23,7031,Class A,2003-06-28 12:00:00+00:00,33.26035,-87.31821, Lady sees large hairy creature on the side of the road,Lady sees large hairy creature side road
24,7235,Class A,2004-05-28 12:00:00+00:00,34.7325,-86.52105, Recollection of an afternoon sighting on Green Mountain,Recollection afternoon sighting Green Mountain
25,7427,Class A,2003-11-26 12:00:00+00:00,32.6218,-85.4258, Four youths have harrowing experience in Alabama backwoods.,Four youths harrowing experience Alabama backwoods.
26,8171,Class A,2004-05-09 12:00:00+00:00,33.3674,-86.64066, Nighttime Sighting on County Road,Nighttime Sighting County Road
27,8679,Class A,2004-09-30 12:00:00+00:00,33.6205,-86.4664, Adult recalls childhood sighting at dusk near Moody,Adult recalls childhood sighting dusk near Moody
28,10498,Class A,1979-09-15 12:00:00+00:00,33.8132,-86.7891, Hiker has daylight sighting near Warrior.,Hiker daylight sighting near Warrior.
29,14082,Class A,2006-09-10 12:00:00+00:00,32.30673,-87.24547, Daylight road crossing sighting near Orrville,Daylight road crossing sighting near Orrville
30,15102,Class A,2006-07-06 12:00:00+00:00,31.00002,-86.99782, Daylight sighting by hunter near the Alabama / Mississippi border,Daylight sighting hunter near Alabama / Mississippi border
31,17455,Class A,2007-05-19 12:00:00+00:00,32.43,-85.705, Sighting by duck hunters in swamp area within Tuskegee National Forest,Sighting duck hunters swamp area within Tuskegee National Forest
32,17480,Class A,2007-04-22 12:00:00+00:00,33.35,-85.625, Sighting by a group of campers in Cheaha Mountain State Park,Sighting group campers Cheaha Mountain State Park
33,18043,Class A,1992-08-15 12:00:00+00:00,34.27607,-86.17524, Evening sighting by family driving by Guntersville Lake,Evening sighting family driving Guntersville Lake
34,22539,Class A,2007-07-18 12:00:00+00:00,33.59,-86.5, Roadside Sighting near Moody,Roadside Sighting near Moody
35,24646,Class A,2001-04-13 12:00:00+00:00,32.184,-86.581, Early morning sighting by a fisherman south of Montgomery,Early morning sighting fisherman south Montgomery
36,25238,Class A,1999-11-23 12:00:00+00:00,33.36305,-86.17122, Woman recalls encountering a creature while driving through Talladega National Forest,Woman recalls encountering creature driving Talladega National Forest
37,25559,Class A,2009-02-24 12:00:00+00:00,34.71139,-86.6575, Exec on business trip has sighting from balcony of hotel near Huntsville,Exec business trip sighting balcony hotel near Huntsville
38,26513,Class A,1979-09-14 12:00:00+00:00,30.7113,-87.91833, Man recalls a sighting after Hurricane Frederic north of Mobile,Man recalls sighting Hurricane Frederic north Mobile
39,26886,Class A,2000-05-13 12:00:00+00:00,32.76967,-86.4891, Daylight sighting while riding ATV on his private property outside Verbena,Daylight sighting riding ATV private property outside Verbena
40,27067,Class A,1980-01-12 12:00:00+00:00,31.86801,-85.35995, Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton,Motorists pulled rural highway night describe standoff headlights east Clayton
41,27459,Class A,2010-03-12 12:00:00+00:00,33.8957,-87.53395, Motorist sights dirty-white upright creature near the town of Kansas,Motorist sights dirty-white upright creature near town Kansas
42,27480,Class A,1990-05-15 12:00:00+00:00,33.8957,-87.53395, Woman recounts childhood sighting of a white creature near the town of Kansas,Woman recounts childhood sighting white creature near town Kansas
43,27568,Class A,2005-01-12 12:00:00+00:00,34.70112,-87.77686, Daylight sighting of a Bigfoot outside Muscle Shoals,Daylight sighting Bigfoot outside Muscle Shoals
44,33307,Class A,1983-10-14 12:00:00+00:00,31.13586,-87.06486, Memory told of a close encounter while riding a bike as a teen in Brewton,Memory told close encounter riding bike teen Brewton
45,35293,Class A,1978-10-10 12:00:00+00:00,31.34781,-86.54527, Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia,Daylight observation remembered Bigfoot holding baby pig near Andalusia
46,35475,Class A,2012-05-21 12:00:00+00:00,33.41574,-88.12475, Daylight road crossing near Vernon,Daylight road crossing near Vernon
47,37038,Class A,2008-02-15 12:00:00+00:00,31.25385,-88.26291, Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale,Nighttime sighting tall blonde biped crossing Hwy. 45 north Fruitdale
48,37094,Class A,2012-11-01 12:00:00+00:00,33.82162,-85.48985, Multiple sightings close to Lookout Mountain near Gadsden,Multiple sightings close Lookout Mountain near Gadsden
49,39383,Class A,2012-08-15 12:00:00+00:00,34.32279,-86.5045, Kayaker has rocks thrown and observes the culprit near Union Grove,Kayaker rocks thrown observes culprit near Union Grove
50,40417,Class A,2013-03-16 12:00:00+00:00,34.47091,-86.56954, Nighttime encounters close to home near Morgan,Nighttime encounters close home near Morgan
51,40912,Class A,2013-01-23 12:00:00+00:00,34.29511,-86.88621, Deer hunter hears then sees large hair-covered biped near the Morgan County line,Deer hunter hears sees large hair-covered biped near Morgan County line
52,42939,Class A,2013-10-15 12:00:00+00:00,32.48322,-86.37698, Late afternoon sighting by a bow hunter in his tree stand south of Clanton,Late afternoon sighting bow hunter tree stand south Clanton
53,43689,Class A,2013-10-02 12:00:00+00:00,33.55153,-86.98473, Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham,Night fisherman first hears observes two Bigfoots spotlight near Birmingham
54,44487,Class A,2014-03-30 12:00:00+00:00,32.91874,-85.9793, Memory told of a close dalylight observation outside Alexander City,Memory told close dalylight observation outside Alexander City
55,44849,Class A,2014-12-27 12:00:00+00:00,33.37095,-87.6942, Sightings at night in the same area off Bone Camp Road near Northport,Sightings night area Bone Camp Road near Northport
56,44986,Class A,2014-12-31 12:00:00+00:00,31.651,-85.19265," Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville","Memory told close daylight encounter two, possibly young, Bigfoots near Abbeville"
57,45296,Class A,2014-06-09 12:00:00+00:00,34.00806,-86.96416, Motorist observes a Bigfoot chasing a deer at night near Bremen,Motorist observes Bigfoot chasing deer night near Bremen
58,45464,Class A,2014-06-17 12:00:00+00:00,34.14117,-85.22781, Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff,Motorist daylight sighting Hwy. 9 east Cedar Bluff
59,46746,Class A,2014-09-17 12:00:00+00:00,31.23374,-85.21574, Nighttime sighting by a motorist west of Newville,Nighttime sighting motorist west Newville
60,47975,Class A,2013-01-28 12:00:00+00:00,31.53475,-85.7944, Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton,Motorist observes tall biped ape-like face driving dusk near Ariton
61,50178,Class A,2014-01-14 12:00:00+00:00,33.89833,-86.84557, Recollection of a roadside sighting of a white Bigfoot near Blount Springs,Recollection roadside sighting white Bigfoot near Blount Springs
62,186,Class A,2001-08-11 12:00:00+00:00,34.55056,-92.34083, Two boys are chased by sasquatch,Two boys chased sasquatch
63,1636,Class A,1972-11-05 12:00:00+00:00,36.19444,-92.38222, Teenager has sighting near Ozark National Forest,Teenager sighting near Ozark National Forest
64,1637,Class A,1995-05-15 12:00:00+00:00,36.33528,-92.385, Backyard sighting near Mountain Home.,Backyard sighting near Mountain Home.
65,1640,Class A,1996-10-15 12:00:00+00:00,34.08,-93.0, Nightime sighting by motorists on Hwy 7 North,Nightime sighting motorists Hwy 7 North
66,1641,Class A,1998-10-29 12:00:00+00:00,34.25,-93.1," From top of hill, hunter observes bipedal creature following a fence row","From top hill, hunter observes bipedal creature following fence row"
67,1944,Class A,1969-08-16 12:00:00+00:00,33.76986,-94.3643, Family has multiple encounters with white bigfoot creature,Family multiple encounters white bigfoot creature
68,2494,Class A,2001-08-11 12:00:00+00:00,34.787,-91.735, Bus driver encounters ape like creature during an unscheduled stop,Bus driver encounters ape like creature unscheduled stop
69,2774,Class A,1988-01-10 12:00:00+00:00,36.12083,-90.51056, Large bipedal animal observes couple parking behind school gymnasium,Large bipedal animal observes couple parking behind school gymnasium
70,2931,Class A,2001-07-29 12:00:00+00:00,33.82111,-92.03389," Daylight sighting outside rural home in small community of Herbine, south of Rison","Daylight sighting outside rural home small community Herbine, south Rison"
71,2957,Class A,1970-06-15 12:00:00+00:00,35.9975,-93.83426, Youths riding in back of pick-up have close observation of large biped crossing road,Youths riding back pick-up close observation large biped crossing road
72,3226,Class A,1998-11-15 12:00:00+00:00,35.42097,-93.15208, Man finds 3-toed prints & wife has sighting,Man finds 3-toed prints & wife sighting
73,3519,Class A,1984-04-17 12:00:00+00:00,33.88861,-93.20389, Man working in wooded area sees bipedal animal standing on railroad tracks,Man working wooded area sees bipedal animal standing railroad tracks
74,4090,Class A,2000-01-15 12:00:00+00:00,33.26666,-93.886, Sighting in wheat field near Fouke,Sighting wheat field near Fouke
75,4093,Class A,1977-09-25 12:00:00+00:00,36.19791,-91.1125, Daytime sighting between Pocahontas and Imboden,Daytime sighting Pocahontas Imboden
76,4094,Class A,1994-10-15 12:00:00+00:00,34.56444,-92.58667, Late night encounter near Benton,Late night encounter near Benton
77,5228,Class A,1997-03-14 12:00:00+00:00,36.37111,-91.87, Motorist has nighttime sighting of bipedal animal at roadside,Motorist nighttime sighting bipedal animal roadside
78,5316,Class A,2002-10-10 12:00:00+00:00,36.20611,-94.23417, Daytime sighting by hiker near Spring Creek.,Daytime sighting hiker near Spring Creek.
79,5607,Class A,1998-07-07 12:00:00+00:00,34.70694,-94.45417, Driver narrowly misses creature darting across mountainous stretch of highway,Driver narrowly misses creature darting across mountainous stretch highway
80,6178,Class A,2004-04-04 12:00:00+00:00,36.18333,-94.44694, Motorist crossing a bridge sees sasquatch digging in the dirt below,Motorist crossing bridge sees sasquatch digging dirt
81,6932,Class A,1999-11-15 12:00:00+00:00,35.64861,-91.45889, Duck hunter observes apelike creature across White River,Duck hunter observes apelike creature across White River
82,7045,Class A,2003-10-31 12:00:00+00:00,36.34167,-93.94583, Man riding 4-wheeler observes a bigfoot reaching into a tree,Man riding 4-wheeler observes bigfoot reaching tree
83,7234,Class A,1961-10-15 12:00:00+00:00,34.88111,-91.08056, Daylight sighting by two sisters near their farm in the early 1960s,Daylight sighting two sisters near farm early 1960s
84,7815,Class A,2003-08-12 12:00:00+00:00,35.27833,-93.13361, Man while checking spooked cattle with his grandfather observes 8'-9' bipedal animal leaning against tree,Man checking spooked cattle grandfather observes 8'-9' bipedal animal leaning tree
85,7971,Class A,2004-02-19 12:00:00+00:00,33.18639,-93.9475, Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke.,Coon hunter dogs experience close encounter Sulphur River bottoms Doddridge Fouke.
